VIN,Error Code,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Body Class,Doors,Gross Vehicle Weight Rating From,Trailer Type Connection,Trailer Body Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Bus Floor Configuration Type,Bus Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Fuel Type - Primary,Engine Configuration,Other Engine Info,Turbo,Seat Belt Type,Front Air Bag Locations,Side Air Bag Locations,Tire Pressure Monitoring System (TPMS) Type,Wheel Base (inches) From,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Axles,Battery Voltage (Volts) From,Engine Model,Fuel Type - Secondary,Engine Brake (hp) From,Electrification Level,Engine Manufacturer,Knee Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Keyless Ignition,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Rear Cross Traffic Alert,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Base Price ($),Fuel Delivery / Fuel Injection Type,Top Speed (MPH),Transmission Speeds,Valve Train Design,Curtain Air Bag Locations,Other Restraint System Info,Active Safety System Note,Series2,Rear Automatic Emergency Braking,Brake System Description,Blind Spot Intervention (BSI),Lane Centering Assistance,Note,Pretensioner,Trim2,Seat Cushion Air Bag Locations,Adaptive Driving Beam (ADB),Engine Stroke Cycles,Event Data Recorder (EDR),Cooling Type,Parking Assist,Windows,Additional Error Text,Engine Brake (hp) To,Wheel Base Type,Entertainment System,SAE Automation Level From,Battery Type,Wheel Base (inches) To,Battery Energy (kWh) From,Number of Battery Packs per Vehicle,EV Drive Unit,Track Width (inches),Curb Weight (pounds),Suggested VIN,Other Battery Info,Charger Power (kW)
JF2GUADC6R8206632,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JF2GUADC*R8,,SUBARU,SUBARU CORPORATION,Crosstrek,2024,,,Premium,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,Main Plant,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,5,2,Continuously Variable Transmission (CVT),,,NA,,152,,,Driver Seat Only,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,Standard,LED,Standard,,,,,,1st and 2nd Rows,Front seat-mounted side air bag on seat backs,,,,,,,ES: EyeSight; H/K: Harman/Kardon; Navi: Navigation,,ES,Passenger Seat Only,Standard,,,,,,,,,,,,,,,,,,,,
2T3A1RFV1SC494197,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2T3A1RFV*SC,,TOYOTA,TOYOTA MOTOR MANUFACTURING CANADA,RAV4,2025,CAMBRIDGE,50 Series,,MULTIPURPOSE PASSENGER VEHICLE (MPV),CANADA,Cambridge Plant,ONTARIO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2487,152,2.5,Gasoline,In-Line,"L4, PORT+DIRECT",,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,5,2,Automatic,,,A25A-FKS,,203,,Toyota,Driver Seat Only,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,,,Standard,LED,Standard,,,,8,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belt: All Seats,,Wagon Body Style,,,,,,,,Passenger Seat Only,,4,Standard,,,,,,,,,,,,,,,,,,
1HGCR2F34HA178985,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCR2F3*HA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2017,MARYSVILLE,,LX,PASSENGER CAR,UNITED STATES (USA),,OHIO,Sedan/Saloon,4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2356,143.771941087,2.4,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,109.30,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,16,16,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,K24W1,,185,,Honda,,Standard,Standard,Standard,Standard,,,,,,Standard,,,,,Standard,,,,,Standard,25155.00,,155,,Dual Overhead Cam (DOHC),1st and 2nd Rows,"seat belts: front, rear, rear center",,,,,,,,,,,,,,Water,,,,,,,,,,,,,,,,,
3MW5R7J59K8B01610,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3MW5R7J5*K8,,BMW,BMW AG,330i,2019,SAN LUIS POTOSI,3-Series,xDrive,PASSENGER CAR,MEXICO,,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,1997.5831016,121.9,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,112.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,18,18,Left-Hand Drive (LHD),5,2,Automatic,2,,,,255,,,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,,,Standard,,Standard,,Standard,Standard,,Standard,40250.00,,,8,,1st and 2nd Rows,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
ML32A4HJ3JH006553,0,0 - VIN decoded clean. Check Digit (9th position) is correct,ML32A4HJ*JH,,MITSUBISHI,MITSUBISHI MOTORS CORPORATION (MMC),Mirage,2018,LEAMCHABANG,,,PASSENGER CAR,THAILAND,,CHONBURI,Hatchback/Liftback/Notchback,5,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,3,1200.0,73.22849291367,1.2,Gasoline,In-Line,MIVEC,,Manual,1st Row (Driver and Passenger),,Direct,96.5,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,,2,,,,,,,,Standard,Standard,,Standard,,,,,,Standard,,,,,Standard,,,Optional,,,13395,,105,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,Hill Start Assist; Keyless Ignition: Standard for SE and GT trims,,,,,,Price Class: High,,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,
2HGFC2F83LH529423,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFC2F8*LH,,HONDA,"HONDA OF CANADA MFG., A DIVISION OF HONDA CANADA INC.",Civic,2020,ALLISTON,,Sport,PASSENGER CAR,CANADA,,ONTARIO,Sedan/Saloon,4,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1996,122.04748818946,2.0,Gasoline,In-Line,Sequential Multiport Fuel Injection,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,106.30,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,K20C2,,158,,Honda,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,,,Standard,,Standard,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,,,,,,,,,,,4,,Water,,,,,,,,,,,,,,,,,
1C4RJFBGXJC240870,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1C4RJFBG*JC,,JEEP,FCA US LLC,Grand Cherokee,2018,DETROIT,WK,Limited,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Jefferson North Assembly,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),All Rows,Direct,114.70,,,,4,18,18,Left-Hand Drive (LHD),5,,Automatic,2,,,,295,,FCA,,Standard,Standard,Standard,,,Standard,Optional,Optional,Optional,Optional,,Optional,Optional,Optional,Standard,,,Standard,,,40495.00,,,8,,,Active Seat Belt,Enhanced Accident Response System: Standard; Advanced Brake Assist: Optional; Ready-Alert Braking: Standard; Hill Start Assist: Standard; Rain Brake Support: Standard; Remote keyless entry: Standard; Remote Proximity Keyless Entry: Standard; Remote-Start Sytem: Standard; Trailer Sway Damping: Standard,,,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,
1GNKRGED7BJ129327,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1GNKRGED*BJ,,CHEVROLET,GENERAL MOTORS LLC,Traverse,2011,LANSING - DELTA TOWNSHIP,,LT,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),GMNA,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,SIDI,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,LLT,,,,GM,,,,,,,,,,,,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,Roof Side Airbags: All seating rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL79MPSL0NB031429,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KL79MPSL*NB,,CHEVROLET,GENERAL MOTORS LLC,Trailblazer,2022,BUPYEONG,,LT,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,3,1300.0,79.33086732315,1.3,Gasoline,In-Line,,Yes,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,,,,,,,,5,2,Continuously Variable Transmission (CVT),,,"L3T -  L3, SIDI, VVT, ALUM",,,,,1st Row (Driver and Passenger),Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,Standard,Standard,Optional,Standard,Standard,Halogen,Standard,,,,,Dual Overhead Cam (DOHC),All Rows,AYF - Active Manual Belts / Roof Side (all seating rows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NMS53AA1KH073450,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5NMS53AA*KH,,HYUNDAI,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (HMMA),Santa Fe,2019,,,"Limited, Ultimate",MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,ALABAMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2000,122.0474881894,2,Gasoline,,,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,108.90,,,,4,19,19,Left-Hand Drive (LHD),6,2,,2,,T-GDI THETA II,,235,,HMC,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,39650.00,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,Wagon Body Type,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,
3FA6P0H93GR377706,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3FA6P0H9*GR,,FORD,"FORD MOTOR COMPANY, MEXICO",Fusion,2016,HERMOSILLO,,SE,PASSENGER CAR,MEXICO,Hermosillo,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,2000.0,122.04748818946,2.0,Gasoline,In-Line,Premium Fuel,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,240,,Ford,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Stoichiometric Gasoline Direct Injection (SGDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
